user_id,utc_date,model,api_key_name,api_key,type,price,amount
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-pro,mac,sk-dd0d3***********************c3a6,input_cache_hit_tokens,0.000000025,6798208
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-pro,mac,sk-dd0d3***********************c3a6,input_cache_miss_tokens,0.000003,501358
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-pro,mac,sk-dd0d3***********************c3a6,request_count,,161
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-pro,mac,sk-dd0d3***********************c3a6,output_tokens,0.000006,56215
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-pro,sean,sk-33486***********************adb1,input_cache_hit_tokens,0.000000025,83384832
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-pro,sean,sk-33486***********************adb1,input_cache_miss_tokens,0.000003,259742
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-pro,sean,sk-33486***********************adb1,request_count,,527
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-pro,sean,sk-33486***********************adb1,output_tokens,0.000006,216180
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-pro,chris,sk-ab2c3***********************30fd,input_cache_hit_tokens,0.000000025,4128512
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-pro,chris,sk-ab2c3***********************30fd,input_cache_miss_tokens,0.000003,140687
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-pro,chris,sk-ab2c3***********************30fd,request_count,,82
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-pro,chris,sk-ab2c3***********************30fd,output_tokens,0.000006,46690
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-flash,mac,sk-dd0d3***********************c3a6,input_cache_hit_tokens,0.00000002,4379392
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-flash,mac,sk-dd0d3***********************c3a6,input_cache_miss_tokens,0.000001,1063315
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-flash,mac,sk-dd0d3***********************c3a6,request_count,,133
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-flash,mac,sk-dd0d3***********************c3a6,output_tokens,0.000002,204266
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-flash,sean,sk-33486***********************adb1,input_cache_miss_tokens,0.000001,1673
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-flash,sean,sk-33486***********************adb1,request_count,,5
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-24,deepseek-v4-flash,sean,sk-33486***********************adb1,output_tokens,0.000002,4393
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-25,deepseek-v4-pro,sean,sk-33486***********************adb1,input_cache_hit_tokens,0.000000025,2931200
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-25,deepseek-v4-pro,sean,sk-33486***********************adb1,input_cache_miss_tokens,0.000003,216284
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-25,deepseek-v4-pro,sean,sk-33486***********************adb1,request_count,,85
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-25,deepseek-v4-pro,sean,sk-33486***********************adb1,output_tokens,0.000006,26252
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-25,deepseek-v4-flash,elin,sk-64e93***********************2224,input_cache_hit_tokens,0.00000002,87088000
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-25,deepseek-v4-flash,elin,sk-64e93***********************2224,input_cache_miss_tokens,0.000001,951267
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-25,deepseek-v4-flash,elin,sk-64e93***********************2224,request_count,,349
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-25,deepseek-v4-flash,elin,sk-64e93***********************2224,output_tokens,0.000002,513228
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-26,deepseek-v4-pro,kyle,sk-52977***********************9953,input_cache_hit_tokens,0.000000025,9085184
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-26,deepseek-v4-pro,kyle,sk-52977***********************9953,input_cache_miss_tokens,0.000003,135271
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-26,deepseek-v4-pro,kyle,sk-52977***********************9953,request_count,,170
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-26,deepseek-v4-pro,kyle,sk-52977***********************9953,output_tokens,0.000006,61984
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-26,deepseek-v4-flash,lucy,sk-99fb6***********************bc7e,input_cache_hit_tokens,0.00000002,10742016
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-26,deepseek-v4-flash,lucy,sk-99fb6***********************bc7e,input_cache_miss_tokens,0.000001,409430
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-26,deepseek-v4-flash,lucy,sk-99fb6***********************bc7e,request_count,,124
ec6068db-4531-4580-9dd4-d5dbae2998ed,2026-06-26,deepseek-v4-flash,lucy,sk-99fb6***********************bc7e,output_tokens,0.000002,159165
